No;Email;Name;Surname
1;mario@quiz.it;mario;rossi
2;cavana@quiz.it;antinio;cavana
3;maria@quiz.it;maria;danna
4;matteo@quiz.it;matteo;zeck
5;albert@quiz.it;albert;bouba
6;fernando@quiz.it;fernando;Alvarez
7;adminer@quiz.it;adminer;adminer
8;amina@quiz.it;amina;Aissatou
9;fadimatou@quiz.it;fadimatou;Fati
10;ali@quiz.it;ali;baba
11;alima@quiz.it;alima;asmaou
12;alban@quiz.it;alban;lemaitre
13;jamel@quiz.it;jamel;legrand
14;antoine@quiz.it;antoine;leroi
15;myriam@quiz.it;myriam;Eyanga
16;bouba@quiz.it;bouba;mars
17;mael@quiz.it;mael;Lebon
18;gaetan@quiz.it;gaetan;Laporte
19;jean@quiz.it;jean;kamdem
20;marc@quiz.it;marc;koki
21;eru@quiz.it;eru;fufu
22;pipo@quiz.it;pipo;papa
23;toto@quiz.it;toto;tata
24;cameroon@quiz.it;cameroon;Yaounde
25;meli@quiz.it;meli;melissa
26;studentessa@quiz.it;studentessa;studentessa
27;togo@quiz.it;togo;ghana
28;amidou@quiz.it;lamda;baoba
29;landry@quiz.it;ordi;computer
30;mariama@quiz.it;mama;papa
