No;Email;Name;Surname;Role
1;mario@quiz.it;mario;rossi;STUDENT
2;cavana@quiz.it;antinio;cavana;STUDENT
3;maria@quiz.it;maria;danna;STUDENT
4;matteo@quiz.it;matteo;zeck;STUDENT
5;albert@quiz.it;albert;bouba;STUDENT
6;fernando@quiz.it;fernando;Alvarez;PROFESSOR
7;admin@quiz.it;admin;admin;Admin
8;amina@quiz.it;amina;Aissatou;Student
9;fadimatou@quiz.it;fadimatou;Fati;Student
10;ali@quiz.it;ali;baba;Student
11;alima@quiz.it;alima;asmaou;Student
12;alban@quiz.it;alban;lemaitre;Student
13;jamel@quiz.it;jamel;legrand;Student
14;antoine@quiz.it;antoine;leroi;Student
15;myriam@quiz.it;myriam;Eyanga;PROFESSOR
16;bouba@quiz.it;bouba;mars;student
17;mael@quiz.it;mael;Lebon;student
18;gaetan@quiz.it;gaetan;Laporte;student
19;jean@quiz.it;jean;kamdem;student
20;marc@quiz.it;marc;koki;student
21;eru@quiz.it;eru;fufu;student
22;pipo@quiz.it;pipo;papa;student
23;toto@quiz.it;toto;tata;student
24;cameroon@quiz.it;cameroon;Yaounde;student
25;meli@quiz.it;meli;melissa;student
26;student@quiz.it;student;studentessa;student
27;professor@quiz.it;prof;professor;professor
28;amidou@quiz.it;lamda;baoba;student
29;landry@quiz.it;ordi;computer;student
30;mariama@quiz.it;mama;papa;student
